,RMSE,MAE,R²
Linear Regression,36.9439114183373,21.430186483748372,0.2638534802466691
Random Forest,26.41495467218345,13.61519820424404,0.6236618425400287
XGBoost,26.284897644255075,13.581745425931105,0.6273586066412629
